	date	time	tweet	label
0	2012-10-16 00:00:00	10:28:53-05:00	Kirkpatrick who wore a baseball cap embroidered with Barack Obamas signature and had the hangdog look of Jason segel Courier Journal	0
1	2016-12-10 00:00:00	10:09:00-05:00	Question If Romney and Obama had a childpunching contest and Mitt punched five and Obama punched none who won	2
2	2012-10-16 00:00:00	10:04:30-05:00	obama debates that Cracker Ass Cracker tonight I will be tuned in TeamObama	1
3	2012-10-16 00:00:00	10:00:36-05:00	RT Slate Blame Obama for four deaths in Libya But dont blame Bush for nearly deaths in New York	2
4	2012-10-16 00:00:00	09:50:08-05:00	Youre missing the point Im afraid you do not understand the bigger picture if you dont care if Obama re elected	0
5	2012-10-16 00:00:00	09:48:54-05:00	Mitt Romney made all of his money himself Barack Obama made his money living off the tax payers his entire l	2
6	2012-10-16 00:00:00	10:00:16-05:00	I was raised as a Democrat left the party years ago but in my lifetime I have never seen a president divide the country like obama	-1
7	2012-10-16 00:00:00	09:48:07-05:00	The Obama camp cant afford to lower expectations for tonights debate The President MUST give a strong performance	0
8	2012-10-16 00:00:00	09:52:47-05:00	Tonights debate has that Game feel This is it Pres Obama has to call Romney out on his lies and tell us his plan for more years	2
9	2012-10-16 00:00:00	10:12:50-05:00	Obama pot policy disappointing to say the least legaizeit via	-1
10	2012-10-16 00:00:00	10:12:11-05:00	Not all of Hollywood has his back Gene Simmons Yanks Obama Support Calls Him a PissPoor President	-1
11	2012-10-16 00:00:00	10:06:14-05:00	id be grateful for scoop from you guys on that rather than bloviating about brilliance of Obamas critique of Romneys tax plan	2
12	2012-10-16 00:00:00	09:49:38-05:00	Obama must to a degree hit MR hard tonight Town Hall not very hospitable to that But Media Dying to report Obama Comes Back	2
13	2012-10-16 00:00:00	09:22:47-05:00	Obamas Expedient Speak fair in order to Slenderizing BiscuitTaiwan Tensions GjN	0
14	2012-10-16 00:00:00	10:02:09-05:00	I had a dream that i was smoking with Obama oO	0
15	2012-10-16 00:00:00	10:02:57-05:00	The Washington Times The Presidents Popularity Bubble Has Burst Barack Obama Fox Nation Obama OFA tcot	-1
16	2012-10-16 00:00:00	10:09:31-05:00	Obamas priorities K for gaydar research not security for our embassy in Libya tlot tcot p	-1
17	2012-10-16 00:00:00	09:32:54-05:00	United states of Islam Does Obama really think that Weirdoooooo	-1
18	2012-10-16 00:00:00	09:18:04-05:00	they created this debt now plame Obama handing out money to billionaires and two wars u braked u owned	-1
19	2012-10-16 00:00:00	09:11:10-05:00	Obama has not kept ONE of his promises of the town hall debates Why believe him tonight	-1
20	2012-10-16 00:00:00	09:40:05-05:00	Obama vs Romney pt tonight Obama may be bringing in the Bus Driver just in case it gets personal lmao	2
21	2012-10-16 00:00:00	09:35:05-05:00	This sub is here talking shit about Obama	0
22	2012-10-16 00:00:00	09:46:05-05:00	obama ist tot	0
23	2012-10-16 00:00:00	09:45:36-05:00	when you go against your own ideas to hurt Obama and America for electing a blk pres Youve shown your whole hand dumbass	0
24	2012-10-16 00:00:00	09:58:40-05:00	I just dont see how Obama can recover from Lindsey Lohans endorsement of Romney you guys Thats a runaway train of WIN vodkacocaine	2
25	2012-10-16 00:00:00	10:15:20-05:00	Still my Idol Mr President Obama	1
26	2012-10-16 00:00:00	10:25:03-05:00	Pretty creepy No wonder Obama always has Starbursts in his pocket Some equally realistic theories here	0
27	2012-10-16 00:00:00	10:18:27-05:00	Just saw a truck with a NASA sticker and an Obama sticker New BFF	0
28	2012-10-16 00:00:00	10:03:26-05:00	debate tonight I hope Obama brings a lot of energy tonight This debate is crucial obama	0
29	2012-10-16 00:00:00	09:04:02-05:00	you said so much good things about Obama when the small business owner picked him up	1
30	2012-10-16 00:00:00	09:54:32-05:00	We can have either more years of increasing debt and handouts with Obama or years of growth and a helpinghand with Romney TCOT	2
31	2012-10-16 00:00:00	09:55:37-05:00	Hillary taken the spaken for Obamas ignorance Attaboy Obama The more blind people that have ur back the better off u will be Spineless	-1
32	2012-10-16 00:00:00	09:40:17-05:00	Im a South African and i say Obama is the best thing to happen to America	1
33	2012-10-16 00:00:00	10:23:45-05:00	RT Smart women know when Obama said his policies would cause energy prices to skyrocket he meant it tcot SGP	-1
34	2012-10-16 00:00:00	10:19:29-05:00	Tonight Obama will be focused and forceful Leaving voters to wonder why he didnt know he should do that in the first debate	0
35	2012-10-16 00:00:00	09:41:43-05:00	Obama may need ground game of his backers are following elex very closely compared with in	0
36	2012-10-16 00:00:00	09:51:14-05:00	i remember when Obama first got elected niggas acted like it was the second coming of Jesus	0
37	2012-10-16 00:00:00	10:12:33-05:00	Obama is working out next to me	0
38	2012-10-16 00:00:00	10:15:49-05:00	Pretty much If Obama loses tonight expect the madness meltdown to breach containment	0
39	2012-10-16 00:00:00	09:05:50-05:00	If Obama wins I wanna move to New York	0
40	2012-10-16 00:00:00	09:35:33-05:00	Just once I want to hear Obama say Nigga please yeees	0
41	2012-10-16 00:00:00	10:07:12-05:00	Barack Obama quietly gives himself control of all communication systems in America NOTObama ObamaVSAmerica	-1
42	2012-10-16 00:00:00	10:12:42-05:00	last kid voted Johnson but he would bk OBAMA how does that make sense Oh my god I could scream	0
43	2012-10-16 00:00:00	09:06:38-05:00	thanksgiving obama turkey on google omg thats so wrong	0
44	2012-10-16 00:00:00	09:50:59-05:00	Okay Obama It is time to put your game face on and get shit done	1
45	2012-10-16 00:00:00	09:47:38-05:00	Im actually beginning to feel sorry for Obamanever mind it passed Like smelly gas	-1
46	2012-10-16 00:00:00	10:05:59-05:00	I agree we cant afford more years of Obama	-1
47	2012-10-16 00:00:00	10:23:08-05:00	I feel you but thee next indie pres we will use this time next term after obm I fuck wt obama but the ent world should step to him	0
48	2012-10-16 00:00:00	10:12:52-05:00	Why is Obama to blame for Benghazi to some but Bush not to blame for Sers question Dont understand the parsing	2
49	2012-10-16 00:00:00	09:24:29-05:00	Colorado Model Obama Romney State remains a TossUp	2
50	2012-10-16 00:00:00	10:29:06-05:00	Romney vs Obama Round Why Obama Cant Win and Other Debate Predictions	2
51	2012-10-16 00:00:00	09:10:59-05:00	Has anyone seen obama Oh hes hiding behind Hillary epicfail Hillary will never see her fantasy of being potus weak	-1
52	2012-10-16 00:00:00	10:06:37-05:00	CDN news Muppets Denounce Democrats Call Obama a Puppet Ahead of the Democratorganized conservative tcot	-1
53	2012-10-16 00:00:00	09:01:31-05:00	New W intelligence Syrian rebels dont have the numbers to win Obama doesnt either Debka Obamassad	-1
54	2012-10-16 00:00:00	09:34:34-05:00	RTGov Gary Johnson pulling votes from waste your vote Obama must go	-1
55	2012-10-16 00:00:00	09:12:34-05:00	Romney to Obama Im willing to donate my presidential salary to the national debt until its balanced How about you	2
56	2012-10-16 00:00:00	09:59:14-05:00	Truther News Leaked Debate Agreement Shows Both Obama and Romney are Sniveling Cowards Gawker TeamBlitzd	2
57	2012-10-16 00:00:00	09:49:15-05:00	Bob Beckel Obama created mil jobs so there where mil people without jobs in January are you kidding me Bob	0
58	2012-10-16 00:00:00	09:27:28-05:00	Obamas sustained efforts to claim hes not responsible for anything belong in a letter of resignation not a reelection campaign	-1
59	2012-10-16 00:00:00	09:54:29-05:00	Reporter Are you aware Michelle voted for you yesterday Obama Thank goodness	0
60	2012-10-16 00:00:00	09:10:51-05:00	Obama is having a debate around the corner from my gaf Security is crazy	0
61	2012-10-16 00:00:00	10:22:48-05:00	Im looking forward to watching President clean slate Mitt Romney at the Presidential Debate tonight I have your back obama	2
62	2012-10-16 00:00:00	09:15:32-05:00	Obama reminds me of my kids The other one did it What an ego he has	-1
63	2012-10-16 00:00:00	09:49:36-05:00	Obama walked to a short debate prep session this morning with advisers Anita Dunn and David Plouffe Told reporters hes feeling fabulous	0
64	2012-10-16 00:00:00	10:06:02-05:00	Looks like Obama may need two good debates now if he is to assure victory	0
65	2012-10-16 00:00:00	10:17:07-05:00	Here ya go Romney lovers Whats crazy is I had no idea he was so evil towards women Fucking stand up for what is right	0
66	2012-10-16 00:00:00	10:28:22-05:00	Liberals were depressed after Obamas debate which is tough bcuz if u lock urself in a garage w a running Priusnothing happens B Maher	0
67	2012-10-16 00:00:00	09:39:31-05:00	vote Obama	1
68	2012-10-16 00:00:00	10:21:35-05:00	Obama wont make eye contact DebatePredictions	0
69	2012-10-16 00:00:00	10:19:59-05:00	If Obama dont win its gonna be lotta more sin the lack of money is the root of all evil inspire insta	0
70	2012-10-16 00:00:00	09:06:52-05:00	townhallquestions Mr Obama Why is it someone else had to help your brother in Kenya Why do so many others have to do yur job	-1
71	2012-10-16 00:00:00	10:07:16-05:00	Join me in supporting Support President Obamas Agenda via	1
72	2012-10-16 00:00:00	09:34:50-05:00	President Obama need to understand after he win his second term n the white house u cant b too nice these republicans anymore	0
73	2012-10-16 00:00:00	10:05:38-05:00	Japan set to become biggest foreign creditor Think they forgot about us nuking them Obama is giving us to our enemies Romney debate	-1
