	date	time	tweet	label
0	2012-10-16 00:00:00	09:38:08-05:00	InsidiousMitt Romneys Bain Helped Philip Morris Get US High Schoolers Hooked On Cigarettes via	-1
1	2012-10-16 00:00:00	10:22:34-05:00	Senior Romney Advisor Claims Obama Administration Is Deliberately Misleading Public On Libya tp US	2
2	2012-10-16 00:00:00	10:14:18-05:00	you mean like romney cheated in primary	-1
3	2012-10-16 00:00:00	09:27:16-05:00	Mitt Romney still doesnt believe that we have a black president	-1
4	2012-10-16 00:00:00	10:11:43-05:00	Romneys tax plan deserves a nd look because he has a secret one thats different than the one hes been lying about	-1
5	2012-10-16 00:00:00	10:13:17-05:00	Hope Romney debate prepped w the same people as last time	1
6	2012-10-16 00:00:00	10:17:28-05:00	Want to know how Mitt Romney is going to be able to cut by trillon dollars Go here it explains everything	-1
7	2012-10-16 00:00:00	09:35:55-05:00	If Romney wins the presidential election the worlds really ending this year	-1
8	2012-10-16 00:00:00	09:33:07-05:00	Presidential debate round Romney wants a repeat Obama a reversal	2
9	2012-10-16 00:00:00	09:40:14-05:00	Someone on the mitt Romney Facebook page said president bush kept us safe Uhh since when	-1
10	2012-10-16 00:00:00	10:28:50-05:00	Romneys million jobs scam reminds me of Rip Torn selling pennies in the movies Sick puppy	-1
11	2012-10-16 00:00:00	10:11:00-05:00	g l look at that body x Thanks to Mitt Sexy and I know it republican version D	1
12	2012-10-16 00:00:00	10:21:31-05:00	Mitt Romney said that catching Osama bin Laden would be insignificant and its not worth moving heaven and earth	-1
13	2012-10-16 00:00:00	10:26:34-05:00	Please be Mitt Romney Who is Honey Boo Boo endorsing for president VIDEO	0
14	2012-10-16 00:00:00	09:51:35-05:00	Romney leads Obama on economy jobs deficit poll finds A new poll shows that the economy budget Atlanta GA	2
15	2012-10-16 00:00:00	10:16:13-05:00	Romney is disappointed when states allow samesex marriage	-1
16	2012-10-16 00:00:00	10:22:47-05:00	If women that the Polls show are truly voting for Romney Then I dont want to know how they truly take care of the households	0
17	2012-10-16 00:00:00	09:03:00-05:00	When it comes his trillion tax plan dont let Mitt Romney give u the runaround Details matter	-1
18	2012-10-16 00:00:00	10:00:41-05:00	Romney can go eff himself n so can Obama ihatewritingpapers	2
19	2012-10-16 00:00:00	10:16:23-05:00	Tony Corleone Tony Soprano Tony Mitt Romney Tomato Tomato Tooommmaaattooooo WATCH via	0
20	2012-10-16 00:00:00	09:02:19-05:00	MT REMINDER Mitt Romney isnt changing positions Hes refusing to admit the positions he has	-1
21	2012-10-16 00:00:00	10:03:26-05:00	ppl know Romney is a liar he hides his taxes makes false accusations agnst women rights yet they buy into it cant bleivemakesnosense	-1
22	2012-10-16 00:00:00	09:28:16-05:00	I am not voting for Romney I am voting against Obama So He is voting for Romney	0
23	2012-10-16 00:00:00	09:38:36-05:00	Good luck tonight I have already voted for you Nothing Obama says could change my mind I see what he has done Actions speak	1
24	2012-10-16 00:00:00	10:16:45-05:00	Mitt Romney is seriously thick Listen to him for minutes I fear for the world	-1
25	2012-10-16 00:00:00	09:42:27-05:00	The debate tonight is going to be pointless we all know Romney will win the debate once again	1
26	2012-10-16 00:00:00	10:20:18-05:00	Democrats Launch Ingenious New Site To Attack Romneys Tax Plan Brilliant p tlot tcot	-1
27	2012-10-16 00:00:00	09:56:05-05:00	Ha Damn autocorrecteither that or Mitt Romney hijacked your account Mormon yall	0
28	2012-10-16 00:00:00	09:53:14-05:00	Mitt Romney always worshiped his father This must hurt at least a little	0
29	2012-10-16 00:00:00	10:26:25-05:00	Hope the debate goes as well for Romney tonight as it did the f st time around But with ha like that how could it not	1
30	2012-10-16 00:00:00	09:47:52-05:00	Fuck mitt romney Rick Ross voice	-1
31	2012-10-16 00:00:00	10:20:55-05:00	romney can kiss my ass	-1
32	2012-10-16 00:00:00	09:03:37-05:00	If Romney CRUSHES Obama BHO in tonights debate he wins the election Liberty prosperity has a chance If not he loses its FINISHED	2
33	2012-10-16 00:00:00	10:09:45-05:00	Yet Another CEO Asks Employees to Vote Romney for Yet Another CEO Asks Employees to Vote Romney for Sake of th	-1
34	2012-10-16 00:00:00	09:05:46-05:00	Ross Perot endorses RomneyDidnt realize he was still alivebut either wayObama is FALLINGFAST	2
35	2012-10-16 00:00:00	09:24:59-05:00	Radio Ad mitt Romney completely wrong via	-1
36	2012-10-16 00:00:00	10:21:32-05:00	Why all are the democrats trying to disprove all of Romneys plans when they know nothing about the economy	1
37	2012-10-16 00:00:00	09:53:47-05:00	A detailed explanation of how the RomneyRyan tax plan is able to cut taxes by trillion via	1
38	2012-10-16 00:00:00	09:41:41-05:00	If youre a woman voting for Romney you either have a penis an IQ of or are close minded as hell responsestoMonicaCrowley	-1
39	2012-10-16 00:00:00	09:33:10-05:00	good one DNC but more importantly Romney didnt think to snatch up this domain	-1
40	2012-10-16 00:00:00	09:34:38-05:00	Romney created new fees doubled court filing fees professional regulations marriage license f earm licenses	1
41	2012-10-16 00:00:00	09:40:49-05:00	Wow Romney is doing a Sottocopy from Friday Night Lights	1
42	2012-10-16 00:00:00	09:10:48-05:00	If I were the Yankees Id send Arod to debate Romney start Barack Obama at rd base Hey its not like either of them can get any worse	0
43	2012-10-16 00:00:00	09:48:01-05:00	Idiotic Can we stop wthe Daddy BS Is Romney a stepdad He cares about you because he has no choice	-1
44	2012-10-16 00:00:00	09:27:23-05:00	Ross Perot endorses Mitt Romney Billiona e former presidential candidate H Ross Perot announced his support o	1
45	2012-10-16 00:00:00	09:51:58-05:00	If BO comes out fighting Mitt will simply take advantage of the obvious pressure on the president	1
46	2012-10-16 00:00:00	09:58:23-05:00	Romney isnt clueless Hes evil	-1
47	2012-10-16 00:00:00	09:35:48-05:00	WHY has Romney NOT brought up the fact that Obama appointed a comm as a czar Pres medal of freedom to Socialist huarta	2
48	2012-10-16 00:00:00	09:01:08-05:00	Romney could his make his second fortune in teaching other people how to lie as effortlessly as he does	-1
49	2012-10-16 00:00:00	10:27:46-05:00	I HOPE ROMNEY DEMANDS ALL THE FAST AND FURIOUS DOCUMENTS TONIGHT AT THE DEBATE	1
50	2012-10-16 00:00:00	09:18:20-05:00	SHOCKER Romney jobs plan revealed to be flimflam p p b democrat Hofstra	-1
51	2012-10-16 00:00:00	10:24:16-05:00	Hillary has balls of steel Bigger balls than Obama Biden Romeny and Ryan put together	2
52	2012-10-16 00:00:00	10:24:40-05:00	where are these polls showing Romney ahead I never see them	-1
53	2012-10-16 00:00:00	09:51:34-05:00	BOOM Former Romney senior aide says Romney will say and do anything to close a deal	-1
54	2012-10-16 00:00:00	09:27:53-05:00	FOX News is really struggling to defend Romney Ryan Oh who is this chick Did she really say that on National TV	-1
55	2012-10-16 00:00:00	09:51:31-05:00	Oh yeah Romney I pray to baby Jesus you assault Obama with an AK tonight God Bless	0
56	2012-10-16 00:00:00	10:15:41-05:00	can u tell which candidate you support Romney i hope	1
57	2012-10-16 00:00:00	09:51:59-05:00	Romney picking up steam now has of black vote atleastitsnot	-1
58	2012-10-16 00:00:00	09:57:53-05:00	Patton Oswalt Gives Romney Debate Tips On Conan VIDEO	0
59	2012-10-16 00:00:00	09:50:50-05:00	Ann might try a m ror Ann Romney blames media negative ads for husbands image stopit thisishard romneyshambles	-1
60	012-10-16	09:11:46-05:00	Dear misinformed public Romney does not only propose some minor tax cuts but major cutting of government spending RomneyRyan	-1
61	2012-10-16 00:00:00	09:58:19-05:00	Mitt Romneys jobs plan math is as bogus as his tax plan math	-1
62	2012-10-16 00:00:00	09:44:26-05:00	reported Mitt Romneys sponsored shit as spam on facebook	-1
63	2012-10-16 00:00:00	10:14:16-05:00	snoop doggs reasons not to vote for romney this muthafuckas name is mitt hes a morman but he aint got no hoes	-1
64	2012-10-16 00:00:00	10:20:23-05:00	GW Bush just reaff med his support for Romney saying that he would be a great president Because Bush is such an authority on that	-1
65	2012-10-16 00:00:00	10:06:42-05:00	George Bush said Mitt Romney will be a great president are people really respecting his opinion	0
66	2012-10-16 00:00:00	10:20:49-05:00	I support Romney but this Obama poster is downright nasty I guess the th hour campaigning has begun	2
67	2012-10-16 00:00:00	10:09:27-05:00	Romney may have been in other townhalls but never when get to ask questions and hear answers kingofcrazytown	-1
68	2012-10-16 00:00:00	09:09:49-05:00	Business Insider Please explain why Bill Clinton is wrong on Romney Ryan fraud	-1
69	2012-10-16 00:00:00	10:27:36-05:00	Piers Morgan Hillarys admission makes it a valid point for Romney to rip into Obama tonight during the debates for this debacle	2
70	2012-10-16 00:00:00	10:16:40-05:00	Let Us Pray Mitt for the Debate tonight RT this if You will Pray for Mitt	1
71	2012-10-16 00:00:00	10:00:17-05:00	Poll Romney Opens Large Lead In Rural Swing Counties	1
72	2012-10-16 00:00:00	09:14:23-05:00	Fantastic letter Tony Dungy wrote to President Obama Mitt Romney about the importance of Fatherhood to our countryRT	0
73	2012-10-16 00:00:00	09:58:35-05:00	FUN FACT Mitt Romney would become the f st man to be elected President after telling half the country to fuck themselvesAndy Borowitz	-1
74	2012-10-16 00:00:00	09:49:34-05:00	and yet main stream media repeats Romney cant connect and has a likeability problem	1
75	2012-10-16 00:00:00	09:37:44-05:00	no picks my teacher mitt look like a alligator	0
76	2012-10-16 00:00:00	09:55:04-05:00	We have simplify Romneys argument not try do what POTUS did at last debate Bite size pieces w colorful charts please make point	1
77	2012-10-16 00:00:00	10:10:54-05:00	More so than most politicians I have NO idea how anyone believes anything Romney says	-1
78	2012-10-16 00:00:00	09:11:24-05:00	In politics you get what you deserve If women dont vote you get Romney Think it over Vote or shutup	-1
79	2012-10-16 00:00:00	10:18:31-05:00	Im not saying youre a liar Gov Romney I just approve of ads saying so Oh and ads that say your a murderer PoliteDebate	-1
80	2012-10-16 00:00:00	10:29:41-05:00	Romney Is Attacked by His Fathers Longtime Aide p election	-1
81	2012-10-16 00:00:00	09:42:07-05:00	I suspect the mainstream media of being bought off by big billiona es to skewer the polls and fix the reportingRomney is rising too fast	-1
82	2012-10-16 00:00:00	09:34:39-05:00	s exactly Frum urges Romney to show empathy with the audience the one thing hell struggle to do	-1
83	2012-10-16 00:00:00	09:49:28-05:00	Mitt ROmney	0
84	2012-10-16 00:00:00	10:17:03-05:00	Obama and Romney Halloween Masks and the Zoo Halloween masks of Mitt Romney and Barack Obama are flying off the	2
85	2012-10-16 00:00:00	10:06:39-05:00	Im moving to Paris if Romney wins	-1
86	2012-10-16 00:00:00	09:45:39-05:00	Mitt Romneys jobs plan math is as bogus as his tax plan math Washington Post factchecker Glenn Kessler takes	-1
87	2012-10-16 00:00:00	09:57:53-05:00	I dont think Romney will win it but remarkable in at this point Obama was points ahead in PA	2
88	2012-10-16 00:00:00	10:25:51-05:00	Mitt Romneys plan for a middle class tax cut would provide zero benefits to percent of the middle class	-1
89	2012-10-16 00:00:00	10:08:19-05:00	When Romney mentions tonight the big lie of the Billion being stollen Out of Medicare Obama better shoot that lie down	-1
90	2012-10-16 00:00:00	10:28:20-05:00	What Kind of Man is MITT ROMNEY This is who he REALLY Is tcot	0
91	2012-10-16 00:00:00	09:08:40-05:00	ThingsToRemember Romney has not submitted relevant tax records WhereAreYourTaxRecords Mitt	-1
92	2012-10-16 00:00:00	09:11:45-05:00	Mitt Rommney aint pay no tax	-1
93	2012-10-16 00:00:00	09:59:59-05:00	As Ive been speculating the secret to Romneys tax plan is that hes not all that committed to the promised cut	-1
94	2012-10-16 00:00:00	09:24:32-05:00	Awh yea Romney goes on offense forcing Obama to defend record	2
95	2012-10-16 00:00:00	10:01:15-05:00	I look forward to Mitt crushing Obama over Clinton taking the fall over the Benghazi Terrorist Attack while	2
96	2012-10-16 00:00:00	10:08:16-05:00	This is an impressive web experience Romneys trillion tax plan Details matter	-1
97	2012-10-16 00:00:00	09:21:20-05:00	Economist Steve Forbes Romney Will Win via PRNewsw e	1
98	2012-10-16 00:00:00	09:37:51-05:00	He should maintain his grace and let his persona come through respectfullybut challenge Romney on the facts and specifics	0
99	2012-10-16 00:00:00	09:56:27-05:00	If is even half on his game as he was in the last debate Obama doesnt stand a chance Truth always wins tcot Romney	2
100	2012-10-16 00:00:00	10:20:53-05:00	I hope Romney mentions the fact that Obama failed to meet every promise he made at last elections townhall debate	2
101	2012-10-16 00:00:00	10:08:04-05:00	Missing from Romneys tax plan Reality Fortune blog Fortune blogMissing from Romneys tax plan RealityF	-1
102	2012-10-16 00:00:00	10:25:04-05:00	LT and its nothing against Romney I just feel like they should be paying more attention if theyre trying to truly cater to the users	0
103	2012-10-16 00:00:00	09:11:22-05:00	i see there is no good choice for every issue on the table Thats what makes it difficult Cant stand Mitt but trying to be an	-1
104	2012-10-16 00:00:00	09:34:04-05:00	IF MITT ROMNEY WINS THIS WILL HAPPEN lol	1
105	2012-10-16 00:00:00	09:40:31-05:00	Mitt Romney dont pay no tax	-1
106	2012-10-16 00:00:00	09:48:36-05:00	RT Why Mitt Romneys million jobs math is rejected by the fact checkers	-1
107	2012-10-16 00:00:00	09:34:38-05:00	Women GOP Mitt Romney does not support your right to get equal wages for equal work that IS your economy also your ret ement NO MITT	-1
108	2012-10-16 00:00:00	09:57:24-05:00	Im like really in love with romney	1
109	2012-10-16 00:00:00	09:59:51-05:00	If you think Romney is responsible for a company he left yrs ago but Obama isnt for past yrs of the Economy youre an idiot Sensata	2
110	2012-10-16 00:00:00	09:47:17-05:00	itspartytimechumps Mitt Romney	0
111	2012-10-16 00:00:00	09:53:34-05:00	Romney must feel on debate days like I did at SATs just pray I can make up for math problems by acing the verbal	-1
112	2012-10-16 00:00:00	09:36:35-05:00	If Romney wins yall gonn be popping kids out like crazy	-1
113	2012-10-16 00:00:00	10:00:10-05:00	Do NOT feel bad for Bush If pigs fly and Romney wins Bush will be celebrated by the GOP and Robme Expect him get awards	-1
114	2012-10-16 00:00:00	10:08:16-05:00	Mitt we dont have people dying for lack of health insurance Mitt talk to a healthcare professional not GOP toadies and learn We Do	-1
115	2012-10-16 00:00:00	10:07:33-05:00	snbc Romney is not a STRONG debater Romney is STRONG LIAR	-1
116	2012-10-16 00:00:00	09:57:07-05:00	Wow if youre a woman who votes Romney youre a fucking idiot Its like a Jew voting for Hitler	-1
117	2012-10-16 00:00:00	10:09:59-05:00	If Romney becomes president you can catch me living in Mexico Fuck that	-1
118	2012-10-16 00:00:00	10:02:47-05:00	RT FUN FACT Mitt Romney would become the f st man to be elected President after telling half the country to fuck themselves debate	-1
119	2012-10-16 00:00:00	10:03:13-05:00	mitt romney will help create jobs but hes gonna raise taxes on the middle class lower student loans cut healthcare etc	-1
120	2012-10-16 00:00:00	09:27:26-05:00	If people r stupid enough to vote Romney because they believe the bullshit he spews then we are in trouble America big trouble Debate	-1
121	2012-10-16 00:00:00	10:17:28-05:00	Hes a black republican that believes in Mitt Romney Does that make him a racist	0
122	2012-10-16 00:00:00	09:22:59-05:00	z That would be the most shaded debate ever Maybe Mitt should try hismumbling on a whole other frequency	-1
123	2012-10-16 00:00:00	10:16:47-05:00	The Romney endorsed Ryan plan would put pressure on American seniors in a way we have never seen before The	-1
124	2012-10-16 00:00:00	09:20:17-05:00	I really have no idea who Im goin to vote for Romney Obama confused because I dont know shit about politics	2
125	2012-10-16 00:00:00	09:56:00-05:00	When Romney tells you that he doesnt control the Super PAC slush fund he is lying Most of these PPL are MormonS	-1
126	2012-10-16 00:00:00	10:26:41-05:00	Mitt stands for nothing but making the rich richer while putting all the stressand dis advantage on the Working claasPoor simple	-1
127	2012-10-16 00:00:00	09:17:14-05:00	I dont know but thank God he is willing to take on the challenge and get America back to greatness Mitt Romney is America	1
128	2012-10-16 00:00:00	10:16:24-05:00	If Romney become president we better start reading the Terms and Conditions because we might sign and agree to slavery	-1
129	2012-10-16 00:00:00	10:19:20-05:00	Reagans Budget D ector Mitt Romney Was Not A Businessman	-1
130	2012-10-16 00:00:00	09:18:48-05:00	I have a hard time believing the poll numbers How can a racist like Romney be ahead	-1
131	2012-10-16 00:00:00	10:06:02-05:00	America seriously if you vote Romney in you deserve everything that follows But the rest of the world doesnt	-1
132	2012-10-16 00:00:00	09:03:44-05:00	Mitt Romney fix this mess I know you can step on necessary toes plug the holes stop the bleeding You get the Pic Just make it happen	1
133	2012-10-16 00:00:00	09:57:39-05:00	TheWeek I would ask Romney to stop lying and for once tell the truth debate	-1
134	2012-10-16 00:00:00	09:53:32-05:00	In that City you will thank God you never had anything to do with Roman Romney and his One World Order JesusTweeters tcot tworship	-1
135	2012-10-16 00:00:00	09:17:16-05:00	If Romney become president we all gone have to start reading the Terms Conditions We might fuck around be agreeing to slavery	-1
136	2012-10-16 00:00:00	10:10:45-05:00	Pres Obama shouldnt let Romney get away with his moderate act in tonights debatewrites fb	2
137	2012-10-16 00:00:00	10:26:33-05:00	ina lmfao Im trying Its just that theyre talking about Romney now	0
138	2012-10-16 00:00:00	09:56:25-05:00	Mitt Romney can suck my dick if you a Republican Oh	-1
139	2012-10-16 00:00:00	09:53:44-05:00	Mitt Romney wont be elected because as much as lifelong republican voters dont want to admit it they dont trust or like him Sorry Mitt	-1
140	2012-10-16 00:00:00	10:00:02-05:00	When Romney says Were going to take back America which America South America Central America North America election	-1
141	2012-10-16 00:00:00	10:24:27-05:00	For all those who have forgotten the Bush terms Just remember how terrible of a president he was Romney again	-1
142	2012-10-16 00:00:00	10:01:41-05:00	dMorrissey Thats also significant considering Romney still has million in the bank with weeks left	0
143	2012-10-16 00:00:00	10:08:50-05:00	Romney is not great debater He beat a sleeping Obama If Obama can stay awake tonight he should win MSNBC TheCycle	-1
144	2012-10-16 00:00:00	10:02:59-05:00	Why people who care about Vietnam vets should never ever vote for Mitt Romney	-1
145	2012-10-16 00:00:00	09:36:54-05:00	I was telling my dad and stepmom how dumb the people at FSCJ are and my dad goes oh they must work for Romney lollll	-1
146	2012-10-16 00:00:00	09:16:42-05:00	Romney will definitely try another trick tonight Probably bring flowers for all the women questioners	-1
147	2012-10-16 00:00:00	10:09:39-05:00	Im looking for a Yankees Romney win tonight	1
148	2012-10-16 00:00:00	09:52:11-05:00	Kill Romney plan Seriously	1
149	2012-10-16 00:00:00	10:25:41-05:00	Everybody in my office voting for Romney I should quit huhyea	-1
150	2012-10-16 00:00:00	09:40:09-05:00	Maybe not Romneys a real leader If Romney wins the presidency but Dems keep the Senate Obamacare is safe until No	-1
151	2012-10-16 00:00:00	09:45:43-05:00	DONT EVEN SHAKE ROMNEYS HAND just say NAH DUDE NAH And shake your head as if disgusted ROTFL	-1
152	2012-10-16 00:00:00	09:09:13-05:00	With a Romney in office we would be in wars right now aq afghanistan lybia benghazi an does that even make sense	-1
153	2012-10-16 00:00:00	09:03:53-05:00	Romney has a vision and hes trying for something big Weve just been too slow to sort out what it is	1
154	2012-10-16 00:00:00	09:59:49-05:00	I am seriously absolutely terrified of Romney winning the election Me to Romney downfall	-1
155	2012-10-16 00:00:00	10:26:09-05:00	Im feeling sick to my stomach just pondering what WILL happen if Romney if elected just based off his supporters backwards Rt	-1
156	2012-10-16 00:00:00	09:46:15-05:00	Dont be fooled If you are part of the middle class u will pay more under a Romney presidency New taxes fees or deductions will affect u	-1
157	2012-10-16 00:00:00	10:14:29-05:00	So essentially Romneys trying to buy the presidency	-1
158	2012-10-16 00:00:00	09:04:39-05:00	A clear explanation of how Mitt Romney can cut taxes without raising the deficit	0
159	2012-10-16 00:00:00	09:19:05-05:00	Mitt Romney Campaign Busted Buying Hundreds of Thousands of Facebook LIKES and Twitter Followers via	-1
160	2012-10-16 00:00:00	10:20:53-05:00	Mitt Romneys Footlong now served with a side of bullshit	-1
161	2012-10-16 00:00:00	09:08:53-05:00	NY Times Romney Knows If Roe v Wade Goes Women Will Die via NY Time	0
162	2012-10-16 00:00:00	09:08:21-05:00	Fuck Mitt Romney	-1
163	2012-10-16 00:00:00	09:47:37-05:00	I really really think mitt Romney is gonna win the election	1
164	2012-10-16 00:00:00	10:25:17-05:00	Romney is no Buster Douglas	0
165	2012-10-16 00:00:00	09:52:43-05:00	They say figures will not lie but liers will figuresSounds like Romney Rynn Programs Yep It just that simple	-1
166	2012-10-16 00:00:00	10:27:04-05:00	Go Tigs and Go Mitt	1
167	2012-10-16 00:00:00	10:10:50-05:00	I change my mind I hope Romney wins	1
168	2012-10-16 00:00:00	09:46:32-05:00	Bumper sticker said I have a pet and I voted for Romney do you have a pet Hahaha wtf romney hilarious	0
169	2012-10-16 00:00:00	10:16:59-05:00	Romney said Middle class shouldnt pay for the lower class to eat and live	1
170	2012-10-16 00:00:00	09:32:19-05:00	Romney is fucked up for wanting Sesame Street gonethey live in the hood and one of em even lives in a trashcanthey living rough ijs	-1
171	2012-10-16 00:00:00	10:08:18-05:00	Romney plan doesnt add up deserves second look headline laughable Sign of the times	-1
172	2012-10-16 00:00:00	10:04:40-05:00	Texas billiona e Ross Perot has endorsed Mitt Romney for president saying the future of the country is at risk	1
173	2012-10-16 00:00:00	10:11:16-05:00	If Romney really wants to win the postdebate analysis he should come out for better pay for focus groups	0
174	2012-10-16 00:00:00	10:06:27-05:00	yes but romney wroungs	0
175	2012-10-16 00:00:00	09:53:50-05:00	Romney is such a racist Easier as a Latino Actually	-1
176	2012-10-16 00:00:00	10:07:37-05:00	yea and I am MITT FUCKING ROMNEY	0
177	2012-10-16 00:00:00	09:28:28-05:00	Mitt Romneys new jobs math just doesnt add up See why	-1
178	2012-10-16 00:00:00	10:15:23-05:00	LouiseJJohnson Calling Romney My China would be a nice little burn cockneyObama	2
179	2012-10-16 00:00:00	10:16:02-05:00	Romney secret plans create m job is just not true instead we ll loose more than m job with his tax cut wealthy	-1
180	2012-10-16 00:00:00	09:25:51-05:00	Going to Hofstra to throw coins at Mitt Romneyhell probably wonder what those strange little metal things are	-1
